given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id,cluster_id
,kochiwama,44.0,antares crescent,telopea p ark,benowa,7017,nsw,19000626.0,2398260,71300,38
lauren,bradshaw,130.0,ashcroft crescent,upa cottages,stirling north,2198,vic,19301022.0,1926163,38170,39
willow,froscio,378.0,yandastreet,,keilor,5022,vic,19091226.0,6630637,38008,40
sophie,nicolle,112.0,garling street,spring creek,kotara,4740,nt,19111001.0,7492384,94964,41
andrew,klander,20.0,newman morois circuit,the willows,homebush,2285,vic,19761017.0,5392569,15812,18
angus,stanley,6.0,lazar place,koobeja,floradhill,7008,qld,19971003.0,1076050,25038,42
jack,stubbs,150.0,heard street,summerset,st agnes,5344,qld,19890526.0,1690126,79510,43
matthew,leong,5.0,kavelstreet,glen-mwria,minchinbfry,6153,nsw,19170916.0,1648925,57195,44
stella,chandler,50.0,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215.0,8587561,47668,35
katel byn,colegte,55.0,fiveas hstreet,retirement village,londonderry,2195,nsw,19280828.0,4406021,89295,45
ebiny,morby,,condavale,macgillivray street,armidale,2111,nsw,19840906.0,3945914,33735,46
charlie,ebert,21.0,brewster place,summerdale medical centre,franskton,4570,vic,19711020.0,3939901,9073,47
charlotte,hylnand,25.0,madsen place,leisure lvikng vlge,clarinda,3108,qld,19820410.0,9354762,59755,48
cheree,purtell,1.0,spring rsnge road,guest village (cnrubullcreek d drive,cooma,6111,wa,19300407.0,5062347,9158,49
laura,ryan,3.0,officer crescent,craigie-lea,orange,2289,vic,19120402.0,4198979,74638,50
feilcity,godfrey,16.0,stuckey place,oaklands village,slacks creek,6050,nsw,19361030.0,6452813,13466,51
matthew,paine,7.0,mcintyre street,urunga,moulyinning,7000,nws,19250117.0,6277575,44764,52
mikhayla,campbell,9.0,baynton street,st francis vlge,notting hill,4350,qld,19280711.0,9484120,37675,53
charlie,roussonuis,13.0,gledden street,woorabinda,craigmore,6026,nsw,19461111.0,7379154,5692,54
dale,fimeri,37.0,burdett crescent,star court arcade,wilson,6618,nsw,19930529.0,7559543,66721,55
jaime,,342.0,elliott street,kildarra,bedfordale,2081,qld,19631110.0,8789539,32604,56
riley,gloster,24.0,farrer place,,frankston,3178,nsw,19590124.0,2526809,29949,28
charlie,goode,7.0,tauss place,grahdview,,2575,vic,19761213.0,6548135,2359,57
chloe,pantazopoulos,147.0,allott place,wyoming park,aldgate,2325,nsw,19860807.0,9036067,55548,58
corey,condo,5.0,andamooka street,coolinda,hillston,2026,nsw,19900616.0,4204990,49132,59
emiily,berry,3.0,tenison-woods circuit,,ashfield,6169,nsw,19780527.0,6459366,28196,60
emmet,weller,11.0,copland drive,,birmingham gardens,4365,wa,19270516.0,6281502,81809,61
liam,tuttleby,5.0,verco street,rose-lea,trevallyn,2259,qld,19080101.0,4376020,21275,62
karfissa,creten,185.0,beattie cescent,birrabilla,moranbah,2525,nsw,19360703.0,2328993,95206,63
isabelle,kaminskas,106.0,isis close,westholme,port augusta,2765,qls,19060622.0,5344955,97032,64
jayden,browne,80.0,kincumber nautical vlge,chaseling street,sussex inlet,2630,nsw,19430306.0,2825950,29275,65
melissa,lanzotti,24.0,balfour crescent,killara lodge,cranbourne,2064,vic,19810828.0,7433231,13472,66
bailee,dent,58.0,maddoc k place,jingara,nowra,4171,qld,19950112.0,4080299,58353,67
quinn,godfrey,21.0,duffy street,ardersidr,highotn,3165,vic,19450122.0,3298961,72219,68
charlie,stanley,,amagula avenue,,klemzig,3356,vic,19510717.0,6800801,21180,69
jazz,stephenson,210.0,julia flynn avenue,,ingleubrn,3172,sa,19401214.0,4166094,77679,70
aleisha,mcelwee,34.0,osburn drive,parraweena,condell park,5237,act,19440525.0,2532051,1733,71
amber,blackwell,25.0,thomson street,,salisbury,3188,nsw,19860325.0,5701396,90544,72
shakiroh,evans-zijlstra,1.0,ashkanasycrescent,townview,robina,2340,vic,19510905.0,4746855,32807,73
,shelley,90.0,cromwell circuit,wombat hill,noble apark,2026,vic,19780711.0,2664293,11127,74
aiden,ryan,292.0,honey patch,gundulu place,mosman,3076,wa,19360524.0,3804933,58918,75
william,lazavroff,431.0,leahy lose,millwood,forbes,7256,qld,19780204.0,8072193,34266,76
jamie,van galen,64.0,callister crescent,mowbray,hackham,3060,nsw,19720909.0,3179404,38697,77
isabella,hendricks,86.0,colborne place,dog rock shopping centre,north ryde,2000,nsw,19770129.0,9899655,65865,78
lucas,benger,19.0,cunningham street,padicam,melton south,2232,nsw,19851030.0,5458466,81047,79
harrison,doman,20.0,harry hopman circuit,moline village,toowong,2088,sa,19570519.0,1542335,17997,80
clarke,isabella,59.0,gillespie street,,mount victoria,2147,act,19950110.0,4409764,37391,81
emmerson,loyck,5.0,burnie treet,gordale,thursday island,3147,vic,19211129.0,3901477,30201,82
sarah,behnke,3.0,pearson street,broombie stud,ramornie,2209,vic,19930910.0,8625215,36171,83
angus,rees,5.0,heatonnplace,pangani,new farm,6210,nsw,19220723.0,8576362,79226,84
jordan,vaile,12.0,mullan street,rosewynne,mansfield,4153,qld,19940914.0,7672358,13180,85
tate,hingston,159.0,oxley street,wylarah,kurri kurri,5045,nsw,19680521.0,1954716,50773,86
charlotte,bovill,28.0,vickery street,cashbar,scarborough,3911,vic,19730412.0,5083623,38633,87
emma,matthews,39.0,vanzetti crescent,sunny brees,moorabbin,5158,qld,19910426.0,1091439,26663,88
sophie,nguyen,26.0,namoi place,,mount colah,2550,nsw,19701117.0,2122377,64482,89
kai,white,8.0,cockcrofqt avenue,allunga,parramaxta,4197,,19551009.0,5791061,82199,90
blade,stingle,34.0,earle place,upper warrell,kellyville,5046,,19220925.0,6748586,92976,91
rosie,rundle,8.0,sturt avneue,talonmane,bundaberg,2263,nt,19751109.0,9092692,24336,92
wanders,harry,120.0,morehead street,carrington trrmnt vlge,trevallyn,7205,sa,19121013.0,8289232,88290,93
harrison,matthiessen,3.0,harbison crescent,oakdale,port kembla,2619,wa,19580430.0,4684373,70255,94
lauren,sounness,18.0,leist street,moondani,seaforth,832,qld,19900129.0,6693616,46644,95
tommy,spinato,29.0,howie court,,ballarat,3356,nsw,19821129.0,4527826,69618,96
connor,mayman,40.0,marenghoplace,wilga,toowoomba,2025,nsw,19651018.0,8203430,56185,97
amber,pamplin,58.0,milton,sturt acenue,thornlie,5040,wa,19370407.0,1824555,81162,98
nathab,priest,363.0,banks street,manresa,malvern east,4750,act,19710428.0,4665603,18543,99
casey,vitkunas,22.0,jones place,karinga park,emmaville,2346,tas,19551192.0,2474313,70858,100
silas,webbm,20.0,jacka crvscent,shopping centre,nambour,4306,vic,19580212.0,7373672,93689,101
nicholas,fittock,10.0,fortitudey street,,st kilda east,2298,nt,19651025.0,8437365,85495,102
jayden,liberts,3.0,odern place,peppertree,corryong,2614,qld,19341218.0,5242447,22892,103
ashleigh,quilliam,57.0,bedford street,rosall,surrey hills,6525,nsw,19460730.0,6408479,99761,104
joel,ryan,26.0,lance hill avenue,cameroo,forest hill,3070,nsw,19720615.0,7563426,10420,105
danjel,vincent,7.0,forbes street,villa 3,toukley,3178,qld,19510703.0,8506548,7133,106
jasper,jennion,16.0,fitzhardinge crescent,lords house,glenside,4034,nsw,19720414.0,5825359,16321,107
chloe,crosthwaite,42.0,ashkanasy crescent,,canterbury,4215,nsw,19550722.0,8848058,65081,108
natqlee,coleman,293.0,minns place,,waterman,3910,vic,19110405.0,3646292,62171,109
sophie,laundy,15.0,la perouse street,k mart plaza,eight mile plains,3981,vic,19021029.0,8888208,28067,110
reuven,edgecombe,6.0,ashburton circuit,north vaenue,palmerston,4231,vic,19540701.0,8642119,693,111
amber,pamplin,14.0,andrea palce,milton,seven hills,5054,wa,19691006.0,1824555,10887,112
ayla,benjamin,3.0,bradfield street,concept,tatura,2030,wa,,4452328,28911,113
,kempton,8.0,homburg street,yellow dam,blacktown,3122,vic,19021108.0,8283089,56262,114
dylan,wilkins,18.0,denovan circuit,two tree hill,brighton-le-sands,2320,nsw,,8735875,74083,115
sienna,slape,52.0,rene street,,burleigh waters,4034,vic,19400331.0,7340083,20293,116
michael,laverty,6.0,hytten place,sennockke,suffolk park,2208,vic,19631213.0,9807797,70498,117
jake,grosser,3.0,lexcen a venue,horseshoe bend,bomaderry,2161,vic,19670227.0,8695287,31436,118
madison,maynard,257.0,holmes crescent,glenview,embleton,2154,nsw,19400506.0,3031454,51061,119
byron,wisowaty,58.0,pera place,john flynn medical centre,caulfield,6101,,19320304.0,8901022,88350,120
layla,thrussell,27.0,markell p lace,,frenchs forest,6728,qld,19250608.0,1947368,5110,121
jack,mcneeley,39.0,keverstone circuit,royal queensland yacht squadron,brighton-le-sands,4702,wa,19880329.0,1834993,19139,122
grace,timmermans,18.0,cussen street,hallsville,preston,2251,wa,19501207.0,6702521,22741,123
carly,benger,61.0,gellibrand street,gradnview,carnegie,4011,nsw,19710126.0,5651019,15764,124
brydee,westermann,13.0,burkitt street,mlc centre,banks,3352,vic,19910126.0,1387695,28131,125
isaac,clarke,1.0,armytage circuit,oaklands village,annangrove,3636,vic,19570425.0,9451125,766,126
madison,dixson,37.0,,white lodge,ringwoid,5047,sa,19940413.0,7161189,30433,127
fraser,tadege,1.0,mcinneswstreet,,scarborojgh,2870,nsw,19001013.0,3817644,25347,128
lara,chandler,42.0,dempster place,henry kendall bayside,kingaroy,2219,nsw,19360624.0,3577228,42046,129
hollv,shepherd,3.0,stillwell place,elstoh,albion park rail,6201,vic,19800323.0,4620818,98214,130
alexa-rose,white,22.0,warrego circuit,burnisde,bayswater,3040,nt,19160822.0,2502613,10495,131
oliver,cureton,164.0,drevermann street,burraminga,toronto,3149,qld,19920126.0,9218356,74525,132
benjamin,muog,302.0,peat place,arlnigton,frankston,4518,nsw,19101008.0,5994946,13593,133
isabella,runlde,8.0,fawkner street,emerald agrigulural college,pottsville,6154,nsw,,6097070,6413,134
charlie,ebert,21.0,brewster place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,63766,47
haryr,clarke,,hyndes crescent,royal brisbane hospital,homebush,4805,nsw,19971021.0,6391939,29860,135
hayden,ngai,40.0,hinkler street,berajondo,nightcliff,2263,vic,19970624.0,2260097,44378,136
samuel,wasley,12.0,earle street,university shores,northbridge,2530,nsw,19461003.0,2561997,25127,137
amber,black well,25.0,thomso n street,warrina lakes,salisbury,3188,nsw,19860325.0,2016958,35462,72
micaela,blackwell,,lewin street,rosedina,dulwich hill,4103,nsw,19791204.0,7856388,21419,138
callie,bullock,7.0,warramoo crescent,kanangra hstl,noble park,2650,tas,19351013.0,6636494,35252,139
sian,beelitz,3.0,ashkanasy crescent,miowera,sylvania,5042,nsw,19510904.0,3279804,1216,140
daniel,clarke,3.0,goldsborough close,,wilson,2206,wa,19630507.0,9886493,49759,141
riley,faull,32.0,turner place,margaret river carvn park,long jetty,2033,nsw,19640728.0,8404785,36992,142
riley,wegemer,45.0,phillip avenue,walhalla,cremorne,3937,wa,19540621.0,9657253,86220,143
alexandra,knapman,16.0,mceacherncxrescent,villa 306,chelsea heights,3429,sa,19151113.0,6888119,42801,144
niocla,collier,,schaff eyr place,mt styrt,sheidow park,2098,nsw,19420623.0,8536431,36879,145
emiily,vodden,41.0,clement place,arcadia,st johns park,2170,nsw,19811218.0,9588930,21350,146
cassandra,rafanelli,3025.0,,berragoon,st slbans,3020,wa,19270701.0,7377790,82037,147
dominxic,flockhart,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,52090,148
samantha,sabieray,68.0,quandong street,wattle brae,gorokan,4019,wa,19590807.0,2863290,2074,149
dominic,flockhdart,26.0,oxley street,clear creek,northgate,3001,wa,19890621.0,5173538,16022,148
harrison,paulka,211.0,bourne street,tally ho,ballina,3976,vic,19260122.0,4721250,54917,150
toby,maczkowiack,8.0,kanooka street,carinya vlge,canley vale,3219,nsw,19000328.0,7799632,83423,151
ruby,jeffries,73.0,forbes street,underwood,st albans,4165,nsw,19490705.0,8939903,83801,152
charlotte,mccraken,5.0,,flr 5 john flynnmedical centre,bligh park,4814,nsw,19570529.0,6092940,1424,153
sma,webb,5.0,deamer cerescent,belaradah,west lakes shore,2570,wa,19361215.0,4408444,67820,154
jonah,nguyen,8.0,dalley crescent,the palms village,kingary,2607,nsw,19591019.0,9550440,7600,155
eliza,white,82.0,summerland circuit,rsd shee oak ridge,thornlie,2345,qld,19420103.0,6353345,54495,156
barnaby,egan,13.0,britten-jones drive,rawdon,kaleen,4304,vic,19270529.0,6442115,47693,157
kate,rawlings,70.0,corin place,oxfodrd,kuraby,4216,qld,19330925.0,2464828,34803,158
mackinley,rees,93.0,oman place,locn 2192,parmelia,3084,wa,19710708.0,5830377,72109,159
hayden,covino,10.0,glengariffe,deamer cf escent,north ryde,2705,qld,19541104.0,2494239,96268,160
jessica,ryan,37.0,mccrae street,cherry haven,junortoun,6065,vic,19980225.0,4602238,29534,161
bradley,clarke,40.0,sharwood csrescent,lynd hurat,ringwood,3959,wa,19510302.0,8586164,57621,162
locylan,grosser,5.0,yapunyah street,youralla,gingin,5276,nsw,19530210.0,5071722,29715,163
danielle,morrison,95.0,london circuit,sec 552,bibra lake,4701,vic,19030709.0,8907802,77101,164
alessandria,rabbitt,19.0,ellenborough street,inglemer,mirrabooka,2186,vic,19900410.0,6217834,34927,165
phoebe,pettman-south,108.0,kernot street,surfrider carvn park,ballina,3175,vic,19720328.0,9681847,18560,166
laura,braunak,87.0,durville crescent,,graceyville,2536,nsw,19550419.0,6978084,58093,167
joshu a,hohn,97.0,somme rlad place,coralyn,eight mile plains,3178,vic,19260422.0,6588717,11697,168
millane,mccarthy,3.0,alfred hill drive,hold fast shores,mortlake,2032,wa,19630818.0,6220857,59914,169
emma,thackeray,71.0,kinkead street,warrah lea,newcomb,4161,,19670913.0,4676877,59631,170
,,1.0,amaroo wallaroo road,parkside flats,chester hill,4811,nsw,19250804.0,1323712,58066,171
malakai,schoppe,31.0,boddington crescent,broadwater caravn park,trafalgar,2747,vic,19141221.0,9890346,95246,172
anastasia,kromwyk,17.0,dyson street,,talwood,4115,vic,,8198114,96239,173
jared,wytkin,61.0,belfield crescent,rowethorpe,bundaberg,5081,,19831025.0,2988806,4708,174
brinaa,morrison,4.0,coolac vplace,esk farm,seaton,2566,vic,19131203.0,2277933,93708,175
lily,petersen,13.0,bissenberger crescent,,melville,2250,,19020326.0,3851124,42566,176
sophie,lovelock,7.0,calder crescent,,pitt town,3810,nsw,19470413.0,1321061,71016,177
joshua,eyles,27.0,harcourt street,belmore river,underdale,2112,vic,19861219.0,1761692,24534,178
abbey,herno,1.0,drosera place,quandialla,yarra junction,800,vic,19760613.0,2291123,55782,179
alexandra,heron,327.0,tullaroop street,vinery,elsternwick,6208,nsw,19400609.0,9873657,66371,180
jaiden,rollins,48.0,tulgeywood,rossarden street,balwyn north,2224,nt,19280722.0,7626396,45656,181
timothy,neville,21.0,fihelly street,villa2,st lucia,3108,wa,19781123.0,1955388,16838,182
jarod,mccarthy,63.0,henty street,moriah ifelds,,2166,nsw,19400529.0,6158276,89009,183
erin,humphreys,11.0,endeavour street,lake macquzrie vlge,umina beach,4873,nsw,19670519.0,9387932,18515,184
ruby,reid,7.0,fitzmaurice street,,eaglwhawk,2260,qld,19120626.0,8386277,13821,185
charlie,primvaera,6.0,chauvel street,st francis vlge,dover yeights,2533,nsw,19250314.0,3173638,7906,186
christian,ferris,3.0,coombe street,warraview,plumpton,5008,nsw,19930222.0,1670806,19945,187
eliza,mason,57.0,kennedy sreet,brentwodo vlge,bundamba,4067,tas,19071124.0,3004030,74888,188
kylie,dixon,4.0,sanford xplace,white lofdge,phillip,5047,sa,19000404.0,7161189,85545,189
lauren,paine,27.0,mcvey pace,yambira,helid on,2776,qld,19440502.0,4517134,2226,190
alexandra,grosvenor,16.0,anembo street,glenlee,frankston,4818,nsw,19930305.0,2128447,46222,191
harrison,schumann,24.0,monaro crescent,donnelly rvr villg,oakleigh,2280,nsw,19991013.0,9551413,40875,192
beams,emiily,1.0,tarrabo ol street,,andergrove,2075,qld,19011124.0,6512231,31127,193
ryan,fey,82.0,kitchener street,un t 1,slacks creek,3450,qld,19870928.0,4515379,80576,194
georgia,byersi,17.0,hilder street,,palmerston,4740,nse,19550530.0,6410415,6374,195
anika,spicer,3.0,melrose drive,rmbe 770,view bank,2067,nsw,19861012.0,1434508,64595,196
liam,kothe,8.0,beaurepaire crescent,,allawah,4570,qld,19740720.0,6657084,90259,197
jaco b,,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,28504,198
pia,campbell,28.0,euree street,ursula,corowa,3199,vic,19150704.0,7029505,48230,199
lucinda,mcneill,7.0,ashburton circuit,malekula,vaucluse,3223,qld,19090228.0,4364711,21312,200
olivia,wheatley,5.0,crisp circuit,stanhope sth,lake clarendon,4575,qld,19421007.0,5051083,82521,201
thomas,finlay,2.0,vicke ry street,brindabella court,page,2160,qld,19520829.0,5555657,29940,202
erin,humphreys,11.0,endeavour street,lake macquaire vlge,elanora heights,4874,nsw,19670519.0,5094045,93815,184
dominic,,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,83802,203
isabella,gilbertson,67.0,boswell c rescent,,morwell,4704,qld,19111011.0,9304242,39789,204
holly,shepherd,44.0,castlereaghcrescent,dalkeith cottage,eaton,6060,vic,19980816.0,1917978,80028,205
lachlan,goldsworthy,61.0,ashkanasy crescent,mcivor ridge,rowville,3158,vic,19450818.0,8577437,59530,206
andrea,brokenshire,3.0,sturdee crescent,,birmingham gardens,2455,nsw,19450619.0,2381532,46782,207
jed,hearn,560.0,gairdner circuit,hd curramulka,alice springs,3056,qld,19060312.0,9442649,11557,208
jordhau,ryan,16.0,carnegie crescent,tahmoor,millrbook,6004,vic,19900903.0,2479030,18835,209
joshua,morrison,17.0,beasley street,,tingalpa,5097,vic,19101123.0,1294692,77803,210
flynn,crea,45.0,,,lismore,2068,nsw,19610318.0,7062906,7060,211
jacob,marampon,39.0,lowanna street,glenveagh,keysborough,3806,vic,,7380723,10805,212
olivia,philps,84.0,ennor crescent,yarawee,king river,2540,nsw,19770302.0,4412451,34466,213
madison,fenwick,63.0,terry close,llandina,glenside,4551,sa,19210711.0,9717577,44460,214
juliana,petersen,25.0,currong street,admiralty quays,glenside,5280,nsw,19610510.0,1726629,70720,215
loan,green,11.0,marlock street,kersley mews,an ula,6233,nsw,19440514.0,2837625,47461,216
ebpony,,90.0,david street,,long jetty,6630,nsw,19410614.0,7166687,92740,217
timothy,neville,21.0,fihelly street,villa 2,st lucia,3108,wa,19781123.0,1955388,78988,182
charlei,ebert,21.0,brewste r place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,34245,47
bianca,marlow,34.0,dietricho place,,alice springs,5065,wa,19980201.0,4351633,20020,218
kayne,priest,48.0,temperley street,sunrest squd,north nrarabeen,3995,wa,19831118.0,1585410,48205,219
madison,boxhall,10.0,yanda street,kookaburra village,dapto,4703,sa,19170926.0,7262746,79619,220
erin,birchby,24.0,burrowes place,elston,creswick,4721,vic,19461022.0,7298611,46039,221
jasmine,sach,17.0,goble s treet,ren own,gawler west,2031,nsw,19791109.0,2530372,21900,222
jack,brock,1.0,duhig place,,boyanup,2484,nsw,19800422.0,8460078,80428,223
hugo,walkington,51.0,oxley street,karoo,oak park,6026,nsw,19150227.0,8296721,4983,224
,whiteley,17.0,mcluckie crescent,kintrye,malvern east,4810,vic,19800908.0,2774642,49367,225
cameron,unyland,25.0,chewings street,underwood,broken hill,6109,qld,19980904.0,2071902,74754,226
jared,wytkon,61.0,belfield crescent,rowethorpe,bundaberg,5081,,19831025.0,2988806,33864,174
danielle,millar,6.0,stanfield close,rosetta village,blackburn north,3102,qld,19991007.0,1611706,38697,77
charlotte,carbone,12.0,peppin place,,albury,4559,sa,19171126.0,4856046,21905,227
matthew,seddon,195.0,collingriddge street,port 366,paralowie,3830,nsw,19920305.0,6514580,51877,228
any,miteff,68.0,john clelad crescent,barkom,blackheath,2036,qld,19160228.0,2583901,24489,229
jessica,wasley,53.0,eyre street,milmilland,cronulla,2564,wa,19931004.0,3209589,31967,230
keely,dixon,2.0,lacey place,briars meadows,barrington,5087,nsw,19380328.0,5477511,1610,231
matthew,brookhouse,3.0,goodparla street,timdoolin,highett,2170,nsw,19101115.0,6804612,22517,232
,rundle,101.0,eaglemont retreat,laalgarths,prospect,6168,qld,19070103.0,7881088,34885,233
,frgh,62.0,matina street,sun city r esort,ascot park,4107,wa,19760203.0,9419843,138,234
olivia,cecotti,4.0,dobell circuit,,cabramatta,6152,vic,19580919.0,6701777,25836,235
brianna,morrison,4.0,burston place,esk f airm,seaton,2566,vic,19131203.0,2277933,12561,175
sarah,greenw,37.0,kelleway avenue,allandale,marlesgon,6014,qld,19140908.0,6213427,90408,236
jenna,pasalic,679.0,tarana street,mallanganee,osborne,4342,vic,19541124.0,7730932,47025,237
kylie,koziol,16.0,wolff crescent,brentwood vlge,kurrajong heights,3135,vic,19320709.0,9336502,76339,238
samuel,walls,74.0,shoalhaven avenue,clearc reek,racevieh,3223,nsw,19370409.0,4859969,34507,239
christopher,behnke,378.0,troughton street,,geranium,3496,qld,19080930.0,7045937,27318,240
alexandra,clarke,184.0,sadlier srreet,yakatoon,westbrook,2756,qld,19190129.0,2749367,2986,241
zachary,ebert,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,918,242
zarlia,lowe,48.0,van raalte place,hd blanche sec 28,cabramatta,3192,wa,19730726.0,2720933,1248,243
jasmine,morrison,16.0,methven place,armidale,point lonsdale,3211,wa,19760810.0,1195414,66758,244
joshua,felmingham,46.0,fullagar crescent,mariner views,evandsle,2229,nsw,19810315.0,8249572,50971,245
holly,stoker,5.0,ballumbir street,chetwynd,kirrawee,6009,vic,19300121.0,8373818,80476,246
nicilas,fogg,48.0,wilshire street,safar i lodge,lemonhrove,2011,,19901127.0,3325932,59193,247
grayson,stanley,9.0,eaglemont retreat,,brighton-le-sands,4107,tas,19710422.0,5818249,12664,248
liam,grubb,63.0,rowellsplace,,kotara south,3002,qld,19660416.0,6643838,90606,249
toby,garran,8.0,mcguiness place,the tops,miami,3125,qld,19520817.0,8221456,62347,250
christian,walch,3.0,coombe street,warraview,plumpotn,5008,nsw,19930222.0,1670806,53418,251
nataoia,georfe,22.0,woollum s treet,glenview,morwell,6065,wa,19540306.0,7746839,74762,252
connor,moerland,38.0,arthur circle,red cross units,greenwood,2680,wa,19351222.0,6169516,45896,253
jessica,mac kinder,15.0,wright place,,lavender bay,4727,sa,19191217.0,1762210,71574,254
hayley,white,1.0,hallenc lose,chelsez house,oran ge,2176,sa,19810909.0,4247423,35608,255
amber,white,31.0,moodie street,degafelga,eaton,2042,nsw,19120819.0,2839026,36787,256
jaxin,helling,13.0,donald place,the mount,riverhills,4214,vic,19141026.0,3066240,42595,257
benjamin,presley,85.0,namatjira drive,guest village (cnr bullcreek d drive,sunnybank,2320,wa,19831208.0,5671732,25978,258
keeley,felmingham,32.0,angliss place,cranbrook,annandale,2670,nsw,19860811.0,5148092,15756,259
kaysey,kon,1.0,ohiostation,gaylard place,,5009,vic,19600828.0,8475924,86315,260
spyke,karlsen,4.0,northam street,aptmt 206,southbank,2329,aw,19110129.0,5567470,92678,261
keziah,parr,20.0,clift crescent,brookvale,murphys creek,2761,nsw,19550103.0,3697304,48263,21
kyle,malin,318.0,namadgi circuit,old hillside,mooroolbark,3912,wa,19091113.0,3977557,17053,262
roisin,bishop,32.0,manning street,rosehlen,mount colah,2902,vic,19481220.0,9469770,65435,263
,blyde,,torrens street,moorillyah,port augusta,3620,vic,19650621.0,8787550,95378,264
mikhayla,hannaan,20.0,,brentwoodvlge,penshurst,2257,vic,19770501.0,1030769,84573,265
oliver,campbell,124.0,moon place,,thornbury,4103,vic,19681119.0,8352510,64204,266
